ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20231012,3107.9007,3101.7051,3109.9898,3092.1771,3078.9556,28.9451,0.9401,274827998.0,325865894.4
000001.SH,20231011,3078.9556,3085.6989,3095.6594,3071.936,3075.2361,3.7195,0.121,259918692.0,326562386.2
000001.SH,20231010,3075.2361,3104.3651,3109.9822,3073.1864,3096.9224,-21.6863,-0.7003,255327379.0,293653291.7
000001.SH,20231009,3096.9224,3099.9998,3103.3597,3072.6418,3110.4753,-13.5529,-0.4357,264422205.0,302662162.1
000001.SH,20230928,3110.4753,3117.7549,3121.8352,3105.9397,3107.3156,3.1597,0.1017,236329981.0,288396222.8
000001.SH,20230927,3107.3156,3104.0395,3125.447,3103.8441,3102.2726,5.043,0.1626,240495830.0,293421022.4
000001.SH,20230926,3102.2726,3114.0214,3120.2889,3102.2726,3115.6071,-13.3345,-0.428,222644313.0,270006131.0
000001.SH,20230925,3115.6071,3131.2079,3131.2079,3112.1505,3132.4316,-16.8245,-0.5371,258071885.0,294635829.6
000001.SH,20230922,3132.4316,3084.7567,3132.5578,3078.8007,3084.701,47.7306,1.5473,285978351.0,321443778.9
000001.SH,20230921,3084.701,3103.1754,3113.4939,3084.701,3108.5679,-23.8669,-0.7678,228659100.0,243536277.5
000001.SH,20230920,3108.5679,3118.6671,3122.1277,3108.1578,3124.9567,-16.3888,-0.5244,228124462.0,243019998.7
000001.SH,20230919,3124.9567,3123.9862,3131.1298,3113.5254,3125.9319,-0.9752,-0.0312,253652761.0,274062664.4
000001.SH,20230918,3125.9319,3110.4404,3128.7009,3098.496,3117.7434,8.1885,0.2626,259444257.0,299644725.4
000001.SH,20230915,3117.7434,3133.5883,3141.9642,3107.448,3126.5511,-8.8077,-0.2817,292026365.0,326091455.9
000001.SH,20230914,3126.5511,3124.8482,3135.025,3111.8588,3123.0669,3.4842,0.1116,263990138.0,281641855.5
000001.SH,20230913,3123.0669,3137.7718,3143.7577,3106.9693,3137.0593,-13.9924,-0.446,249701038.0,282015557.2
000001.SH,20230912,3137.0593,3140.3409,3147.5141,3134.3176,3142.779,-5.7197,-0.182,234672051.0,281897501.8
000001.SH,20230911,3142.779,3119.6101,3155.1026,3113.8164,3116.7191,26.0599,0.8361,290442917.0,351883736.0
000001.SH,20230908,3116.7191,3114.2296,3126.0412,3104.6743,3122.3523,-5.6332,-0.1804,228125064.0,270006714.9
000001.SH,20230907,3122.3523,3152.2028,3152.2662,3120.8229,3158.0769,-35.7246,-1.1312,269264733.0,317186963.3
000001.SH,20230906,3158.0769,3147.1363,3162.1547,3136.8998,3154.3693,3.7076,0.1175,267002230.0,324001129.7
000001.SH,20230905,3154.3693,3169.7384,3169.7384,3150.0753,3177.0603,-22.691,-0.7142,294061849.0,342760613.4
000001.SH,20230904,3177.0603,3145.9435,3177.0603,3143.3793,3133.2467,43.8136,1.3983,366391140.0,404500273.0
000001.SH,20230901,3133.2467,3126.0234,3143.8457,3123.1896,3119.8764,13.3703,0.4286,292310992.0,334739632.9
000001.SH,20230831,3119.8764,3134.5529,3139.9801,3113.9459,3137.1375,-17.2611,-0.5502,313448242.0,362507128.8
000001.SH,20230830,3137.1375,3144.4067,3153.689,3126.9024,3135.8867,1.2508,0.0399,347511867.0,414729469.6
000001.SH,20230829,3135.8867,3091.9379,3145.761,3090.4377,3098.6363,37.2504,1.2022,398875780.0,443979437.0
000001.SH,20230828,3098.6363,3219.0432,3219.0432,3089.1194,3064.0747,34.5616,1.128,485607764.0,517234120.9
000001.SH,20230825,3064.0747,3068.615,3085.047,3053.0373,3082.2439,-18.1692,-0.5895,293347686.0,317757173.4
000001.SH,20230824,3082.2439,3085.9107,3106.1824,3072.9511,3078.4021,3.8418,0.1248,300024637.0,332447831.3
000001.SH,20230823,3078.4021,3116.2661,3116.3765,3077.6056,3120.3338,-41.9317,-1.3438,272244124.0,297986364.4
000001.SH,20230822,3120.3338,3103.7807,3126.7838,3074.5307,3092.9777,27.3561,0.8845,309316335.0,348637687.6
000001.SH,20230821,3092.9777,3125.9897,3134.9571,3092.9777,3131.953,-38.9753,-1.2444,265753423.0,293721061.6
000001.SH,20230818,3131.953,3165.0998,3179.1159,3131.953,3163.7393,-31.7863,-1.0047,294390352.0,320449006.9
000001.SH,20230817,3163.7393,3137.3514,3167.4457,3123.2495,3150.1277,13.6116,0.4321,294692586.0,320785474.1
000001.SH,20230816,3150.1277,3164.7019,3176.626,3149.7226,3176.1758,-26.0481,-0.8201,281728292.0,303611332.6
000001.SH,20230815,3176.1758,3180.5579,3186.234,3147.3459,3178.4272,-2.2514,-0.0708,273251922.0,300827985.4
000001.SH,20230814,3178.4272,3159.7138,3180.5067,3141.6551,3189.248,-10.8208,-0.3393,299840327.0,322632054.4
000001.SH,20230811,3189.248,3254.4751,3254.4751,3189.248,3254.5597,-65.3117,-2.0068,330137750.0,339187129.8
000001.SH,20230810,3254.5597,3242.2057,3257.0298,3234.1158,3244.4867,10.073,0.3105,287412142.0,307263291.7
000001.SH,20230809,3244.4867,3251.1521,3257.0816,3240.2888,3260.6196,-16.1329,-0.4948,271218538.0,309778299.6
000001.SH,20230808,3260.6196,3260.7218,3274.5186,3246.6745,3268.8311,-8.2115,-0.2512,316520733.0,355750325.3
000001.SH,20230807,3268.8311,3276.7756,3276.7756,3258.5372,3288.0842,-19.2531,-0.5855,360341484.0,393056934.2
000001.SH,20230804,3288.0842,3296.0944,3315.0492,3281.7343,3280.4626,7.6216,0.2323,470927697.0,497188089.4
000001.SH,20230803,3280.4626,3254.5651,3280.8636,3247.2719,3261.6903,18.7723,0.5755,384691317.0,389530672.0
000001.SH,20230802,3261.6903,3281.8583,3290.8203,3252.3036,3290.9493,-29.259,-0.8891,405341499.0,388952704.0
000001.SH,20230801,3290.9493,3288.7604,3305.3402,3279.5656,3291.0398,-0.0905,-0.0027,459890833.0,441023318.6
000001.SH,20230731,3291.0398,3287.2089,3322.1291,3281.0133,3275.9257,15.1141,0.4614,459030994.0,511505348.4
